title	year	Director1	Genre1	Genre2	Genre3	stars
Fitoor (2016)	2016	Abhishek Kapoor	Romance	Drama	None	5
John Rabe (2009)	2009	Florian Gallenberger	History	Drama	Biography	7
The Care Bears Movie (1985)	1985	Arna Selznick	Comedy	Adventure	Animation	6
Bride of Chucky (1998)	1998	Ronny Yu	Horror	Fantasy	Comedy	5
Propaganda (1999)	1999	Sinan Çetin	History	Drama	Comedy	7
Journey Into Fear (1943)	1943	Norman Foster	Thriller	Film-Noir	Drama	7
Tangled (2001)	2001	Jay Lowi	Thriller	Drama	None	6
Honkytonk Man (1982)	1982	Clint Eastwood	Music	Drama	Comedy	7
Eros (2004)	2004	Michelangelo Antonioni	Romance	Drama	None	6
The SpongeBob SquarePants Movie (2004)	2004	Stephen Hillenburg	Comedy	Adventure	Animation	7
Run Fatboy Run (2007)	2007	David Schwimmer	Sport	Romance	Comedy	7
City of Hope (1991)	1991	John Sayles	Drama	Crime	None	7
Spider-Man 3 (2007) (VG)	2007	Sam Raimi	Romance	Adventure	Action	7
Private Benjamin (1980)	1980	Howard Zieff	War	Comedy	None	6
Riddick (2013)	2013	David Twohy	Thriller	Sci-Fi	Action	6
Death at a Funeral (2007)	2007	Frank Oz	Comedy	None	None	7
The Confession (1999)	1999	David Hugh Jones	Thriller	Drama	None	6
Wolf Creek (2005)	2005	Greg McLean	Horror	None	None	6
Sherlock Holmes in Washington (1943)	1943	Roy William Neill	Mystery	None	None	7
The Sunshine Boys (1975/I)	1975	Herbert Ross	Comedy	None	None	7
Transylvania (2006)	2006	Tony Gatlif	Drama	None	None	7
Clear History (2013) (TV)	2013	Greg Mottola	Comedy	None	None	6
Awara Paagal Deewana (2002)	2002	Vikram Bhatt	Crime	Comedy	Action	6
Let's Be Cops (2014)	2014	Luke Greenfield	Comedy	None	None	6
The Family Tree (2011)	2011	Vivi Friedman	Drama	Comedy	None	6
Pirates (2005) (V)	2005	Joone	Adventure	Adult	None	8
Demonic (2015)	2015	Will Canon	Thriller	Horror	None	5
Spiral (2007/I)	2007	Adam Green	Thriller	Drama	None	6
The Book of Eli (2010)	2010	Albert Hughes	Drama	Adventure	Action	7
Who Is Killing the Great Chefs of Europe? (1978)	1978	Ted Kotcheff	Crime	Mystery	Comedy	6
The Invisible Woman (2013)	2013	Ralph Fiennes	History	Drama	Biography	6
The Devil Rides Out (1968)	1968	Terence Fisher	Horror	None	None	7
Running Scared (2006)	2006	Wayne Kramer	Drama	Crime	Action	7
Batman: The Dark Knight (2008) (V)	2008	Clint Walker	Adventure	Action	Short	8
Diabolique (1996)	1996	Jeremiah S. Chechik	Thriller	Horror	Drama	5
Beautiful Joe (2000)	2000	Stephen Metcalfe	Drama	Comedy	None	6
Hard Target (1993)	1993	John Woo	Thriller	Action	None	6
BASEketball (1998)	1998	David Zucker	Sport	Comedy	None	7
Dominion: Prequel to the Exorcist (2005)	2005	Paul Schrader	Thriller	Horror	Drama	5
Meet the Blacks (2016)	2016	Deon Taylor	Horror	Comedy	None	3
I'll Follow You Down (2013)	2013	Richie Mehta	Sci-Fi	Mystery	Drama	6
Australia (2008)	2008	Baz Luhrmann	Romance	Drama	Adventure	7
Crimes of the Heart (1986)	1986	Bruce Beresford	Drama	Comedy	None	6
Trapeze (1956)	1956	Carol Reed	Romance	Drama	None	7
Justin Bieber: All Around the World (2012) (TV)	2012	Russell Thomas	Music	Documentary	None	2
Three Days of the Condor (1975)	1975	Sydney Pollack	Thriller	Mystery	None	8
Richard III (1995)	1995	Richard Loncraine	War	Drama	None	8
The World of Stainboy (2000)	2000	Tim Burton	Short	Animation	None	7
French Connection II (1975)	1975	John Frankenheimer	Drama	Crime	Action	7
High Fidelity (2000)	2000	Stephen Frears	Music	Drama	Comedy	8
Tevar (2015)	2015	Amit Sharma	Romance	Drama	Action	4
Half Past Dead (2002)	2002	Don Michael Paul	Thriller	Crime	Action	5
Naanum Rowdydhaan (2015)	2015	Vignesh Shivan	Romance	Comedy	Action	7
The Mummy's Hand (1940)	1940	Christy Cabanne	Horror	Fantasy	Adventure	6
The Americanization of Emily (1964)	1964	Arthur Hiller	War	Drama	Comedy	7
Peacock (2010)	2010	Michael Lander	Thriller	Drama	None	6
Confessions of a Superhero (2007)	2007	Matthew Ogens	Documentary	None	None	7
Platinum Blonde (1931)	1931	Frank Capra	Romance	Comedy	None	7
Crooklyn (1994)	1994	Spike Lee	Drama	Comedy	None	7
Baadshah (2013)	2013	Sreenu Vaitla	Comedy	Action	None	7
Prince of Persia: The Two Thrones (2005) (VG)	2005	Kun Chang	Drama	Adventure	Action	9
Vivacious Lady (1938)	1938	George Stevens	Romance	Comedy	None	7
Seethamma Vakitlo Sirimalle Chettu (2013)	2013	Srikanth Addala	Family	Drama	Comedy	8
Manufacturing Dissent (2007)	2007	Rick Caine	Documentary	None	None	6
The Three Lives of Thomasina (1963)	1963	Don Chaffey	Family	Drama	None	7
Righteous Kill (2008)	2008	Jon Avnet	Drama	Crime	Action	6
Straight to Hell (1986)	1986	Alex Cox	Western	Comedy	Action	6
Callas Forever (2002)	2002	Franco Zeffirelli	Music	Drama	Biography	7
King Kong (2005)	2005	Peter Jackson	Drama	Adventure	Action	7
Farewell, My Lovely (1975)	1975	Dick Richards	Thriller	Mystery	Crime	7
Legends of Oz: Dorothy's Return (2013)	2013	Will Finn	Family	Adventure	Animation	6
Daddy Day Care (2003)	2003	Steve Carr	Family	Comedy	None	6
Mea culpa (2014)	2014	Fred Cavayé	Thriller	Action	None	6
Lost Boys: The Tribe (2008) (V)	2008	P.J. Pesce	Thriller	Horror	Comedy	5
The Two Mrs. Carrolls (1947)	1947	Peter Godfrey	Film-Noir	Drama	Crime	7
Because I Said So (2007)	2007	Michael Lehmann	Romance	Comedy	None	6
In Darkness (2011)	2011	Agnieszka Holland	War	Drama	None	7
The Young Americans (1993)	1993	Danny Cannon	Drama	Crime	None	6
Baby Boom (1987)	1987	Charles Shyer	Romance	Drama	Comedy	6
Bereavement (2010)	2010	Stevan Mena	Thriller	Horror	Crime	5
The Amityville Horror (1979)	1979	Stuart Rosenberg	Horror	Drama	None	6
Skeleton Man (2004) (TV)	2004	Johnny Martin	Thriller	Horror	Action	2
Divine Secrets of the Ya-Ya Sisterhood (2002)	2002	Callie Khouri	Drama	None	None	6
Lo (2009)	2009	Travis Betz	Musical	Horror	Comedy	7
American Zeitgeist (2006)	2006	Rob McGann	Documentary	None	None	8
Extreme Measures (1996)	1996	Michael Apted	Mystery	Drama	Crime	6
Cleanskin (2012)	2012	Hadi Hajaig	Thriller	Drama	Crime	6
Serenity (2005)	2005	Joss Whedon	Sci-Fi	Adventure	Action	8
Meet Me in St. Louis (1944)	1944	Vincente Minnelli	Family	Drama	Comedy	8
A Dog Year (2009)	2009	George LaVoo	Drama	Comedy	None	6
Monte Walsh (1970)	1970	William A. Fraker	Western	None	None	7
The Cook, the Thief, His Wife & Her Lover (1989)	1989	Peter Greenaway	Romance	Drama	Crime	8
The Last Emperor (1987)	1987	Bernardo Bertolucci	History	Drama	Biography	8
Starship Troopers: Invasion (2012)	2012	Shinji Aramaki	Sci-Fi	Action	Animation	6
Big Fat Liar (2002)	2002	Shawn Levy	Family	Comedy	Adventure	5
Angie (1994)	1994	Martha Coolidge	Romance	Drama	Comedy	5
Mr. Hobbs Takes a Vacation (1962)	1962	Henry Koster	Family	Comedy	None	7
Breakdown (1997/I)	1997	Jonathan Mostow	Drama	Crime	Action	7
Crime + Punishment in Suburbia (2000)	2000	Rob Schmidt	Thriller	Drama	None	6
Lord of the Flies (1963)	1963	Peter Brook	Thriller	Drama	Adventure	7
Hero No. 1 (1997)	1997	David Dhawan	Drama	Musical	Comedy	6
Where the Wild Things Are (2009)	2009	Spike Jonze	Family	Drama	Adventure	7
Bridegroom (2013)	2013	Linda Bloodworth-Thomason	Documentary	None	None	8
The Dangerous Lives of Altar Boys (2002)	2002	Peter Care	Drama	Comedy	None	7
Desperate Living (1977)	1977	John Waters	Fantasy	Crime	Comedy	7
Ellie Parker (2005)	2005	Scott Coffey	Drama	Comedy	None	6
Woman in Gold (2015)	2015	Simon Curtis	History	Drama	Biography	7
CKY 4 Latest & Greatest (2003) (V)	2003	Bam Margera	Comedy	Action	None	7
Bring It On (2000)	2000	Peyton Reed	Sport	Comedy	None	6
Memorial Day (2011)	2011	Samuel Fischer	History	Drama	Action	6
*batteries not included (1987)	1987	Matthew Robbins	Fantasy	Family	Comedy	6
Luther (2003)	2003	Eric Till	History	Drama	Biography	7
Paranormal Activity: The Ghost Dimension (2015)	2015	Gregory Plotkin	Horror	None	None	5
Kin-dza-dza! (1986)	1986	Georgiy Daneliya	Sci-Fi	Drama	Comedy	8
Half-Life: Counter-Strike (2000) (VG)	2000	Minh Le	Thriller	Crime	Action	8
The Informant! (2009)	2009	Steven Soderbergh	Drama	Crime	Comedy	6
Texas Killing Fields (2011)	2011	Ami Canaan Mann	History	Drama	Crime	6
Across the Tracks (1990)	1990	Sandy Tung	Sport	Drama	None	6
Iron Jawed Angels (2004) (TV)	2004	Katja von Garnier	History	Drama	None	8
The Beast from 20,000 Fathoms (1953)	1953	Eugène Lourié	Sci-Fi	Horror	Adventure	7
Yankee Doodle Dandy (1942)	1942	Michael Curtiz	Musical	Drama	Biography	8
Saturday Night Live: The Best of Will Ferrell (2002) (TV)	2002	Beth McCarthy-Miller	Comedy	Documentary	None	8
Bermuda Tentacles (2014) (TV)	2014	Nick Lyon	Sci-Fi	Horror	Action	4
Downloaded (2013)	2013	Alex Winter	Documentary	None	None	7
Skellig (2009) (TV)	2009	Annabel Jankel	Fantasy	Family	Drama	7
No Such Thing (2001)	2001	Hal Hartley	Fantasy	Drama	Comedy	6
When Harry Met Sally... (1989)	1989	Rob Reiner	Romance	Drama	Comedy	8
Bridget Jones's Diary (2001)	2001	Sharon Maguire	Romance	Drama	Comedy	7
Feds (1988)	1988	Daniel Goldberg	Crime	Comedy	None	5
The Hound of the Baskervilles (1939)	1939	Sidney Lanfield	Thriller	Mystery	Horror	8
Tickets (2005)	2005	Abbas Kiarostami	Drama	Comedy	None	7
Road Trip: Beer Pong (2009) (V)	2009	Steve Rash	Comedy	None	None	5
The Wicker Tree (2011)	2011	Robin Hardy	Horror	Drama	None	4
DragonHeart (1996)	1996	Rob Cohen	Fantasy	Adventure	Action	6
Dummy (2002)	2002	Greg Pritikin	Romance	Drama	Comedy	7
The Pope of Greenwich Village (1984)	1984	Stuart Rosenberg	Crime	Comedy	Action	7
Hey Arnold! The Movie (2002)	2002	Tuck Tucker	Comedy	Adventure	Animation	6
Jagten (2012)	2012	Patrick Dræby Ravn	Comedy	Short	None	8
Barbie of Swan Lake (2003) (V)	2003	Owen Hurley	Family	Animation	None	6
Bewitched (2005)	2005	Nora Ephron	Romance	Fantasy	Comedy	5
Secrets & Lies (1996)	1996	Mike Leigh	Drama	None	None	8
Belyy tigr (2012)	2012	Karen Shakhnazarov	Fantasy	Adventure	Action	6
Butter (2011)	2011	Jim Field Smith	Comedy	None	None	6
LOL (Laughing Out Loud) ? (2008)	2008	Lisa Azuelos	Romance	Comedy	None	6
Lap Dance (2014)	2014	Greg Carter	Drama	None	None	6
Godsend (2004)	2004	Nick Hamm	Sci-Fi	Horror	Drama	5
Strapped (2010)	2010	Joseph Graham	Drama	None	None	7
Horror Express (1972)	1972	Eugenio Martín	Sci-Fi	Horror	None	6
The Hunger Games: Mockingjay - Part 2 (2015)	2015	Francis Lawrence	War	Thriller	Sci-Fi	7
White Fang (1991/I)	1991	Randal Kleiser	Drama	Adventure	None	7
Gabriel Iglesias: Hot and Fluffy (2007) (TV)	2007	Manny Rodriguez	Comedy	Documentary	None	8
Shamitabh (2015)	2015	R. Balki	Thriller	Drama	Comedy	7
Janis: Little Girl Blue (2015)	2015	Amy Berg	Music	Biography	Documentary	8
UnHung Hero (2013)	2013	Brian Spitz	Documentary	None	None	6
Tumbleweeds (1999)	1999	Gavin O'Connor	Comedy	Drama	None	7
Nina Forever (2015)	2015	Ben Blaine	Romance	Horror	Comedy	6
Problem Child 2 (1991)	1991	Brian Levant	Family	Comedy	None	4
Transformers: Revenge of the Fallen (2009)	2009	Michael Bay	Sci-Fi	Adventure	Action	6
The Old Man and the Sea (1958)	1958	John Sturges	Drama	Adventure	None	7
New York, New York (1977)	1977	Martin Scorsese	Musical	Music	Drama	7
The Incredible Mr. Limpet (1964)	1964	Arthur Lubin	Family	Comedy	Animation	6
O Crime do Padre Amaro (2005)	2005	Carlos Coelho da Silva	Drama	Action	None	5
Darby O'Gill and the Little People (1959)	1959	Robert Stevenson	Fantasy	Family	Adventure	7
Getting Go, the Go Doc Project (2013)	2013	Cory Krueckeberg	Drama	None	None	7
Aria (1987)	1987	Robert Altman	Music	Drama	Comedy	6
Into the Storm (2009) (TV)	2009	Thaddeus O'Sullivan	History	Drama	Biography	7
This Is It (2009)	2009	Kenny Ortega	Music	Documentary	None	7
Sholay (1975)	1975	Ramesh Sippy	Comedy	Adventure	Action	8
The Ladies Man (2000)	2000	Reginald Hudlin	Comedy	None	None	5
Daddy Day Camp (2007)	2007	Fred Savage	Family	Comedy	None	3
Young Sherlock Holmes (1985)	1985	Barry Levinson	Mystery	Fantasy	Adventure	7
Teacher's Pet (1958)	1958	George Seaton	Romance	Comedy	None	7
Our Lips Are Sealed (2000)	2000	Craig Shapiro	Family	Crime	Comedy	5
The Day After (1983) (TV)	1983	Nicholas Meyer	Sci-Fi	Drama	None	7
Attack (1956)	1956	Robert Aldrich	Action	War	Drama	8
Nothing Sacred (1937)	1937	William A. Wellman	Romance	Drama	Comedy	7
Goosebumps (2015)	2015	Rob Letterman	Family	Comedy	Adventure	6
Pathology (2008)	2008	Marc Schölermann	Thriller	Horror	Crime	6
Hey Ram (2000)	2000	Kamal Haasan	History	Drama	None	8
The Women (1939)	1939	George Cukor	Drama	Comedy	None	8
Sudden Impact (1983)	1983	Clint Eastwood	Thriller	Action	None	7
Honey I Blew Up the Kid (1992)	1992	Randal Kleiser	Family	Comedy	Adventure	5
Raju Ban Gaya Gentleman (1992)	1992	Aziz Mirza	Romance	Comedy	Musical	7
Run All Night (2015)	2015	Jaume Collet-Serra	Drama	Crime	Action	7
The Girl in the Photographs (2015)	2015	Nick Simon	Thriller	Horror	Crime	4
An Affair to Remember (1957)	1957	Leo McCarey	Romance	Drama	None	8
S. Darko (2009)	2009	Chris Fisher	Thriller	Sci-Fi	Mystery	4
A Little Bit of Heaven (2011)	2011	Nicole Kassell	Fantasy	Drama	Comedy	6
Death and the Maiden (1994)	1994	Roman Polanski	Thriller	Mystery	Drama	7
Personal Effects (2009)	2009	David Hollander	Drama	None	None	6
Mrs. Soffel (1984)	1984	Gillian Armstrong	Romance	Drama	None	6
Tremors II: Aftershocks (1996) (V)	1996	S.S. Wilson	Horror	Comedy	Action	6
Sabotage (1936)	1936	Alfred Hitchcock	Thriller	None	None	7
A Farewell to Arms (1932)	1932	Frank Borzage	War	Romance	Drama	7
The Gingerbread Man (1998)	1998	Robert Altman	Thriller	None	None	6
The Strongest Man in the World (1975)	1975	Vincent McEveety	Fantasy	Comedy	Family	6
The Flight of the Phoenix (1965)	1965	Robert Aldrich	Drama	Adventure	None	8
Red Dead Redemption: Undead Nightmare (2010) (VG)	2010	Couzin Ed	Fantasy	Adventure	Action	8
Charlotte's Web (2006)	2006	Gary Winick	Fantasy	Family	Comedy	6
The Woods (2006)	2006	Lucky McKee	Thriller	Mystery	Horror	6
Surviving Picasso (1996)	1996	James Ivory	Romance	Drama	Biography	6
El mismo amor, la misma lluvia (1999)	1999	Juan José Campanella	Romance	Drama	Comedy	7
Night and the City (1992)	1992	Irwin Winkler	Drama	Crime	Comedy	6
Mobsters (1991)	1991	Michael Karbelnikoff	Drama	Crime	None	6
Flesh Gordon (1974)	1974	Michael Benveniste	Sci-Fi	Comedy	None	5
The Revenant (2015)	2015	Alejandro G. Iñárritu	Thriller	Drama	Adventure	8
Bride & Prejudice (2004)	2004	Gurinder Chadha	Musical	Drama	Comedy	6
Aamir (2008)	2008	Raj Kumar Gupta	Thriller	Drama	None	8
Rush Hour 2 (2001)	2001	Brett Ratner	Crime	Comedy	Action	7
Wilde (1997)	1997	Brian Gilbert	History	Drama	Biography	7
Halloween (1978)	1978	John Carpenter	Thriller	Horror	None	8
Summer Lovers (1982)	1982	Randal Kleiser	Romance	Drama	Comedy	6
Gentleman's Agreement (1947)	1947	Elia Kazan	Romance	Drama	None	7
Wagons East (1994)	1994	Peter Markle	Western	Comedy	Adventure	5
The Greatest Story Ever Told (1965)	1965	George Stevens	History	Drama	Biography	7
Kyaa Kool Hai Hum (2005)	2005	Sangeeth Sivan	Mystery	Comedy	None	6
Sphere (1998)	1998	Barry Levinson	Sci-Fi	Mystery	Drama	6
Shopping (1994)	1994	Paul W.S. Anderson	Drama	Crime	Action	5
The Invincible Iron Man (2007) (V)	2007	Patrick Archibald	Adventure	Action	Animation	6
WrestleMania X-Seven (2001) (TV)	2001	Kevin Dunn	Sport	Action	None	9
Addicted (2014/I)	2014	Bille Woodruff	Thriller	Drama	None	5
Backtrack (2015/I)	2015	Michael Petroni	Mystery	Horror	Drama	6
Stockholm (2013/I)	2013	Rodrigo Sorogoyen	Romance	Drama	None	7
Enter the Matrix (2003) (VG)	2003	Andy Wachowski	Thriller	Sci-Fi	Action	7
Dulha Mil Gaya (2010)	2010	Mudassar Aziz	Drama	Comedy	None	4
The Queen of Versailles (2012)	2012	Lauren Greenfield	Documentary	None	None	7
The Anomaly (2014)	2014	Noel Clarke	Thriller	Sci-Fi	Action	5
Call of Duty: Advanced Warfare (2014) (VG)	2014	Glen A. Schofield	Sci-Fi	Adventure	Action	8
True Stories (1986)	1986	David Byrne	Comedy	Musical	None	7
The Old Mill (1937)	1937	Wilfred Jackson	Comedy	Short	Animation	8
Secret of the Wings (2012)	2012	Roberts Gannaway	Fantasy	Family	Animation	7
A Raisin in the Sun (1961)	1961	Daniel Petrie	Drama	None	None	8
Kiss of the Dragon (2001)	2001	Chris Nahon	Drama	Crime	Action	7
Borderlands (2009) (VG)	2009	Matthew Armstrong	Adventure	Action	Animation	8
Jane Eyre (2011)	2011	Cary Joji Fukunaga	Romance	Drama	None	7
The ABCs of Death (2012)	2012	Kaare Andrews	Horror	Comedy	None	5
Hulk (2003)	2003	Ang Lee	Sci-Fi	Action	None	6
Stalin (1992) (TV)	1992	Ivan Passer	Drama	Crime	Biography	7
The Grand (2007)	2007	Zak Penn	Comedy	None	None	6
A Few Good Men (1992)	1992	Rob Reiner	Thriller	Drama	None	8
National Treasure: Book of Secrets (2007)	2007	Jon Turteltaub	Comedy	Adventure	Action	6
Yellow Sky (1948)	1948	William A. Wellman	Western	Crime	None	8
The Villain (1979)	1979	Hal Needham	Western	Comedy	None	5
Alley Cats Strike (2000) (TV)	2000	Rod Daniel	Sport	Family	Drama	6
Norm of the North (2016)	2016	Trevor Wall	Comedy	Adventure	Animation	4
The Bounty Hunter (2010/I)	2010	Andy Tennant	Romance	Comedy	Action	6
Indian (1996)	1996	John Paskievich	Documentary	None	None	8
Once Upon a Crime... (1992)	1992	Eugene Levy	Mystery	Crime	Comedy	6
Coco Chanel & Igor Stravinsky (2009)	2009	Jan Kounen	Romance	Music	Drama	6
Aberdeen (2000)	2000	Hans Petter Moland	Drama	None	None	7
Partly Cloudy (2009)	2009	Peter Sohn	Comedy	Short	Animation	8
Little Big League (1994)	1994	Andrew Scheinman	Sport	Family	Comedy	6
The Signal (2014)	2014	William Eubank	Thriller	Sci-Fi	None	6
The Holcroft Covenant (1985)	1985	John Frankenheimer	Drama	Crime	Action	6
The Woman in the Window (1944)	1944	Fritz Lang	Film-Noir	Drama	Crime	8
Twelfth Night or What You Will (1996)	1996	Trevor Nunn	Romance	Drama	Comedy	7
2:37 (2006)	2006	Murali K. Thalluri	Drama	None	None	7
The Man with the Iron Fists (2012)	2012	RZA	Action	None	None	5
Love's Long Journey (2005) (TV)	2005	Michael Landon Jr.	Western	Family	Drama	7
The Last Time (2006)	2006	Michael Caleo	Thriller	Drama	Comedy	6
Class (1983)	1983	Lewis John Carlino	Romance	Drama	Comedy	6
Flywheel (2003)	2003	Alex Kendrick	Drama	None	None	7
The Thing (2011/I)	2011	Matthijs van Heijningen Jr.	Sci-Fi	Mystery	Horror	6
Under the Skin (2013/I)	2013	Jonathan Glazer	Sci-Fi	Horror	Drama	6
Popcorn (1991)	1991	Mark Herrier	Horror	Comedy	None	6
Out for Justice (1991)	1991	John Flynn	Drama	Crime	Action	6
The Music Lovers (1970)	1970	Ken Russell	Drama	Comedy	Biography	7
The Snows of Kilimanjaro (1952)	1952	Henry King	Romance	Drama	Adventure	6
The Caine Mutiny (1954)	1954	Edward Dmytryk	War	Drama	None	8
Unknown (2006)	2006	Simon Brand	Mystery	Drama	Crime	6
Black Friday (2004)	2004	Anurag Kashyap	Thriller	Drama	Crime	9
The Legend of Zorro (2005)	2005	Martin Campbell	Western	Adventure	Action	6
Edges of the Lord (2001)	2001	Yurek Bogayevicz	Romance	Drama	Crime	7
The Wraith (1986)	1986	Mike Marvin	Romance	Horror	Action	6
Flash Gordon (1980)	1980	Mike Hodges	Sci-Fi	Adventure	Action	6
The Mating Habits of the Earthbound Human (1999)	1999	Jeff Abugov	Sci-Fi	Comedy	None	6
Blown Away (1994)	1994	Stephen Hopkins	Drama	Crime	Action	6
Being There (1979)	1979	Hal Ashby	Drama	Comedy	None	8
The Little Mermaid: Ariel's Beginning (2008) (V)	2008	Peggy Holmes	Family	Drama	Animation	6
The Bad News Bears (1976)	1976	Michael Ritchie	Family	Drama	Comedy	7
Best Defense (1984)	1984	Willard Huyck	War	Comedy	None	4
The Harvey Girls (1946)	1946	George Sidney	Western	Musical	Comedy	7
Overnight Delivery (1998)	1998	Jason Bloom	Comedy	Romance	None	6
Glengarry Glen Ross (1992)	1992	James Foley	Mystery	Drama	Crime	8
It Happened at the World's Fair (1963)	1963	Norman Taurog	Romance	Musical	Comedy	6
The Harry Hill Movie (2013)	2013	Steve Bendelack	Musical	Comedy	None	4
Jesse Stone: Innocents Lost (2011) (TV)	2011	Dick Lowry	Drama	Crime	None	7
Boogeyman 2 (2007)	2007	Jeff Betancourt	Thriller	Horror	Drama	5
Der Wixxer (2004)	2004	Tobi Baumann	Mystery	Crime	Comedy	6
Waiting for Forever (2010)	2010	James Keach	Romance	Drama	None	6
Vibes (1988)	1988	Ken Kwapis	Romance	Comedy	Adventure	6
Wieners (2008)	2008	Mark Steilen	Comedy	Adventure	None	4
The Stone Killer (1973)	1973	Michael Winner	Drama	Crime	Action	6
Top Gear: The Perfect Road Trip (2013) (TV)	2013	Phil Churchward	Comedy	Documentary	None	8
Feast II: Sloppy Seconds (2008) (V)	2008	John Gulager	Horror	Comedy	Action	5
The Adventures of Sherlock Holmes (1939)	1939	Alfred L. Werker	Thriller	Mystery	Crime	8
The Matrix (1999)	1999	Lana Wachowski	Sci-Fi	Action	None	9
Hector and the Search for Happiness (2014)	2014	Peter Chelsom	Drama	Comedy	Adventure	7
Tarzan's New York Adventure (1942)	1942	Richard Thorpe	Adventure	Action	None	7
Murphy's Romance (1985)	1985	Martin Ritt	Romance	Drama	Comedy	7
Triage (2009)	2009	Danis Tanovic	War	Mystery	Drama	6
Terminator 2: Judgment Day (1991)	1991	James Cameron	Sci-Fi	Action	None	8
Seconds (1966)	1966	John Frankenheimer	Thriller	Sci-Fi	None	8
Fun in Acapulco (1963)	1963	Richard Thorpe	Music	Comedy	None	6
Species III (2004) (V)	2004	Brad Turner	Sci-Fi	Horror	None	4
Dans Paris (2006)	2006	Christophe Honoré	Romance	Drama	None	7
Qayamat Se Qayamat Tak (1988)	1988	Mansoor Khan	Musical	Drama	Action	8
Secret Admirer (1985)	1985	David Greenwalt	Romance	Comedy	None	6
Raise Your Voice (2004)	2004	Sean McNamara	Romance	Music	Family	6
Mistress America (2015)	2015	Noah Baumbach	Comedy	None	None	7
Waxwork II: Lost in Time (1992)	1992	Anthony Hickox	Horror	Fantasy	Comedy	6
A Home of Our Own (1993)	1993	Tony Bill	Drama	Biography	None	7
Only Lovers Left Alive (2013)	2013	Jim Jarmusch	Horror	Drama	Comedy	7
The Legend of Bagger Vance (2000)	2000	Robert Redford	Sport	Fantasy	Drama	7
The Many Adventures of Winnie the Pooh (1977)	1977	John Lounsbery	Family	Comedy	Animation	8
Bitch Slap (2009)	2009	Rick Jacobson	Crime	Comedy	Action	4
Taken (2008/I)	2008	Pierre Morel	Thriller	Action	None	8
Salon Kitty (1976)	1976	Tinto Brass	War	Drama	None	5
ExTerminators (2009)	2009	John Inwood	Drama	Comedy	None	5
Playing God (1997)	1997	Andy Wilson	Drama	Thriller	Crime	6
Maniac (2012)	2012	Franck Khalfoun	Thriller	Horror	None	6
The Cobbler (2014)	2014	Tom McCarthy	Fantasy	Drama	Comedy	6
Last Dance (1996)	1996	Bruce Beresford	Thriller	Drama	None	6
The Shout (1978)	1978	Jerzy Skolimowski	Drama	Horror	None	7
Gunga Din (1939)	1939	George Stevens	War	Comedy	Adventure	8
The Unsuspected (1947)	1947	Michael Curtiz	Mystery	Film-Noir	Drama	7
Brooklyn Rules (2007)	2007	Michael Corrente	Drama	Crime	None	6
King Creole (1958)	1958	Michael Curtiz	Musical	Drama	Crime	7
Mamma Roma (1962)	1962	Pier Paolo Pasolini	Drama	None	None	8
Babylon A.D. (2008)	2008	Mathieu Kassovitz	Sci-Fi	Adventure	Action	6
Firestarter 2: Rekindled (2002) (TV)	2002	Robert Iscove	Thriller	Sci-Fi	Horror	5
Ruthless People (1986)	1986	Jim Abrahams	Crime	Comedy	None	7
Away We Go (2009)	2009	Sam Mendes	Romance	Drama	Comedy	7
The Fifth Element (1998) (VG)	1998	Nicolas Coquard	Sci-Fi	Adventure	Action	8
The Visit (2015/I)	2015	M. Night Shyamalan	Thriller	Horror	None	6
Death Wish V: The Face of Death (1994)	1994	Allan A. Goldstein	Drama	Crime	Action	5
Fantastic Four (2005/I)	2005	Tim Story	Sci-Fi	Adventure	Action	6
Zapruder Film of Kennedy Assassination (1963)	1963	Abraham Zapruder	Crime	Short	Documentary	8
Man of the House (1995)	1995	James Orr	Family	Comedy	None	5
The Woman (2011/I)	2011	Lucky McKee	Thriller	Horror	None	6
Dark Horse (2011)	2011	Todd Solondz	Drama	Comedy	None	6
Mrs. Palfrey at the Claremont (2005)	2005	Dan Ireland	Drama	Comedy	None	8
Laggies (2014)	2014	Lynn Shelton	Romance	Comedy	None	6
Muppet Treasure Island (1996)	1996	Brian Henson	Comedy	Adventure	Action	7
King of Kings (1961)	1961	Nicholas Ray	History	Drama	Biography	7
One Million Years B.C. (1966)	1966	Don Chaffey	Fantasy	Adventure	None	6
Paths of Glory (1957)	1957	Stanley Kubrick	War	Drama	None	8
Beneath the Planet of the Apes (1970)	1970	Ted Post	Sci-Fi	Adventure	Action	6
From Justin to Kelly (2003)	2003	Robert Iscove	Romance	Musical	Comedy	2
Basket Case 3 (1991)	1991	Frank Henenlotter	Horror	Comedy	None	4
The Hebrew Hammer (2003)	2003	Jonathan Kesselman	Comedy	None	None	6
Under Capricorn (1949)	1949	Alfred Hitchcock	Romance	Drama	Crime	6
MVP: Most Valuable Primate (2000)	2000	Robert Vince	Sport	Family	Comedy	4
Paanch (2003)	2003	Anurag Kashyap	Thriller	Crime	None	8
Khartoum (1966)	1966	Basil Dearden	Drama	Adventure	Action	7
Men in Black (1997)	1997	Barry Sonnenfeld	Family	Comedy	Adventure	7
BioShock Infinite (2013) (VG)	2013	Ken Levine	Sci-Fi	Adventure	Action	9
Dolemite (1975)	1975	D'Urville Martin	Crime	Comedy	Action	6
Delta Farce (2007)	2007	C.B. Harding	Comedy	Adventure	Action	4
